carat,cut,color,clarity,depth,table,x,y,z,price_predicted
0.91,Very Good,H,SI2,63.4,57.0,6.1,6.18,3.89,3065
0.38,Good,F,VS2,60.3,61.0,4.68,4.71,2.83,477
0.52,Ideal,H,VS2,61.8,56.0,5.19,5.16,3.2,987
1.1,Ideal,G,VS1,61.3,56.0,6.65,6.69,4.09,6848
2.28,Ideal,G,SI2,61.6,57.0,8.44,8.37,5.18,17237
2.01,Very Good,J,VS2,60.8,58.0,8.08,8.16,4.94,14289
1.06,Ideal,G,SI2,62.2,57.0,6.51,6.49,4.04,5056
0.7,Premium,E,SI1,60.1,58.0,5.81,5.83,3.5,2931
0.73,Premium,I,VS2,59.7,59.0,5.94,5.81,3.51,2422
0.73,Ideal,H,IF,61.6,55.0,5.8,5.82,3.58,4590
1.0,Good,D,VS2,64.1,58.0,6.24,6.33,4.03,6021
0.33,Ideal,G,VVS2,60.1,57.0,4.48,4.51,2.7,1045
0.54,Ideal,J,VVS2,61.6,57.0,5.25,5.23,3.23,1449
0.33,Ideal,D,VS2,61.9,53.0,4.49,4.46,2.77,941
0.51,Fair,D,VS2,64.4,54.0,5.06,5.03,3.25,1715
0.51,Ideal,E,SI1,62.4,55.0,5.09,5.14,3.19,1405
0.3,Good,I,SI1,63.2,55.0,4.25,4.29,2.7,-1669
2.66,Good,H,SI2,64.3,60.0,8.71,8.65,5.58,20332
0.92,Premium,F,SI1,61.8,59.0,6.21,6.25,3.85,4494
0.3,Ideal,G,IF,62.2,55.0,4.3,4.32,2.68,1675
1.0,Very Good,H,SI1,62.0,54.0,6.43,6.47,4.0,4382
0.34,Very Good,F,VS1,61.1,57.0,4.51,4.54,2.76,711
1.01,Very Good,F,SI2,62.4,58.0,6.37,6.41,3.99,4710
0.87,Ideal,F,VS1,62.0,55.0,6.1,6.13,3.79,5061
1.26,Premium,D,SI2,61.9,58.0,6.88,6.81,4.24,7923
0.38,Premium,E,VS1,60.2,58.0,4.66,4.71,2.82,1485
0.55,Ideal,F,VVS2,62.3,54.0,5.29,5.27,3.29,2762
0.65,Premium,G,SI1,61.9,58.0,5.54,5.51,3.42,1842
0.41,Premium,D,VVS2,62.2,58.0,4.8,4.78,2.98,2310
0.7,Very Good,I,I1,63.2,59.0,5.62,5.59,3.54,489
1.03,Very Good,I,VS1,62.9,53.0,6.45,6.5,4.07,5210
0.34,Ideal,F,VVS2,61.3,56.0,4.52,4.56,2.78,1326
0.73,Ideal,I,VVS1,61.7,53.0,5.8,5.84,3.59,3765
0.83,Ideal,D,SI2,62.1,56.0,6.0,6.04,3.74,3928
0.51,Very Good,G,SI1,63.0,53.0,5.1,5.13,3.22,498
1.06,Ideal,E,VS2,61.3,57.0,6.54,6.57,4.02,6704
0.41,Ideal,D,VS1,61.8,57.0,4.75,4.8,2.95,1992
1.03,Ideal,F,VS2,60.4,56.0,6.59,6.56,3.97,6121
0.32,Ideal,D,SI1,61.3,55.0,4.41,4.46,2.72,454
0.3,Premium,J,VS1,62.6,58.0,4.32,4.27,2.69,-847
0.32,Very Good,D,VVS2,60.1,58.0,4.41,4.44,2.66,1816
0.33,Ideal,G,VS1,61.7,56.0,4.44,4.47,2.75,467
0.25,Ideal,G,VS1,62.7,54.0,4.05,4.08,2.55,-68
0.3,Ideal,F,VS1,61.0,56.0,4.37,4.35,2.66,627
1.26,Very Good,F,IF,60.0,60.0,7.04,7.09,4.24,10011
1.14,Ideal,J,VS1,61.6,56.0,6.71,6.73,4.14,6231
1.51,Premium,H,SI1,62.8,60.0,7.22,7.14,4.51,9496
0.51,Very Good,E,SI2,62.0,57.0,5.09,5.13,3.17,790
0.32,Ideal,G,IF,61.0,57.0,4.44,4.48,2.72,1830
0.94,Premium,E,SI2,60.4,59.0,6.37,6.34,3.84,4611
0.51,Premium,E,VS2,60.6,58.0,5.15,5.12,3.11,1955
1.12,Ideal,H,SI2,61.4,56.0,6.69,6.66,4.1,5317
1.33,Premium,G,SI2,60.3,58.0,7.19,7.16,4.33,7580
0.32,Premium,H,VS2,61.7,59.0,4.35,4.4,2.7,-443
0.7,Ideal,E,VS2,62.6,57.0,5.63,5.68,3.54,3412
1.35,Ideal,H,VVS1,61.9,57.0,7.06,7.09,4.38,9842
0.23,Good,F,VS2,63.8,57.0,3.93,3.84,2.48,-579
0.9,Very Good,F,I1,61.9,59.0,6.16,6.18,3.82,3280
1.03,Ideal,D,SI1,61.3,56.0,6.48,6.54,3.99,6266
1.02,Good,E,SI2,62.8,64.0,6.36,6.32,3.98,5088
0.55,Ideal,H,VVS2,61.7,57.0,5.28,5.26,3.25,2187
0.34,Ideal,E,IF,61.7,56.0,4.46,4.48,2.76,2645
0.71,Premium,D,VVS2,60.0,58.0,5.92,5.84,3.53,4737
0.55,Good,G,SI1,63.6,61.0,5.22,5.16,3.3,716
0.54,Ideal,G,VS2,61.5,55.0,5.24,5.27,3.23,1493
1.23,Ideal,H,IF,61.3,57.0,6.87,6.92,4.23,9197
0.27,Premium,E,VVS1,60.6,58.0,4.18,4.2,2.54,1706
0.53,Ideal,D,VS2,61.4,56.0,5.18,5.21,3.19,2447
1.25,Ideal,G,SI2,61.1,55.0,6.95,6.99,4.26,6863
0.34,Ideal,E,VVS2,62.3,57.0,4.48,4.44,2.78,1656
